Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Sunflower Seeds (सूरजमुखी बीज),Seed,584,21,20,51,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",Rich in vitamin E.
Pumpkin Seeds (कद्दू के बीज),Seed,559,30,10,49,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",Good for prostate health.
Sesame Seeds (तिल),Seed,573,18,25,50,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.","Strength-giving, used in tilgul."
Poppy Seeds (खसखस),Seed,525,18,28,42,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","Calming, promotes sleep."
Hemp Seeds (भांग बीज),Seed,553,31,9,49,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",Rich in protein and omega fatty acids.
Water Chestnut (सिंघाड़ा),Aquatic Vegetable,97,1.4,23.9,0.1,Sweet (मधुर),Cooling (शीत),"Heavy, Moist (गुरु, स्निग्ध)",Sweet (मधुर),"Balances P, V. Can increase K.","Hydrating, good for urinary system."
Lotus Stem (कमल ककड़ी),Aquatic Vegetable,74,2.6,17.2,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Rough (लघु, रूक्ष)",Sweet (मधुर),"Balances P. Can increase V, K.","Improves digestion, strengthens lungs."
Fox Nut (मखाना),Seed,347,9.7,76.9,0.1,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, V. Can increase K.",Good for heart and kidney health.
Arrowroot (अरारोट),Root,65,0.3,13.4,0.1,Sweet (मधुर),Cooling (शीत),"Light, Smooth (लघु, श्लक्ष्ण)",Sweet (मधुर),Balances P. Can increase K.,"Easily digestible, given during illness."
Colocasia Root (अरबी),Root Vegetable,142,2.1,34.6,0.1,"Pungent, Sweet (कटु, मधुर)",Heating (उष्ण),"Heavy, Slimy (गुरु, पिच्छिल)",Pungent (कटु),"Balances V, K. Can increase P.","Energizing, but may cause bloating."
Elephant Foot Yam (जिमीकंद),Root Vegetable,118,2.5,27.9,0.1,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances K. Can increase P, V.","Improves digestion, reduces cholesterol."
Indian Gooseberry (आंवला),Fruit,44,0.9,10.2,0.6,Sour (अम्ल),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Rejuvenating, rich in Vitamin C."
Bael Fruit (बेल),Fruit,137,1.8,31.8,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P, V. Can increase K.","Good for digestion, used in diarrhea."
Jamun (जामुन),Fruit,60,0.7,15,0.2,"Astringent, Sour (कषाय, अम्ल)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.","Controls blood sugar, improves liver health."
Wood Apple (कबैला),Fruit,134,2,30,0.2,"Sour, Sweet (अम्ल, मधुर)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","Improves digestion, strengthens immunity."
Ber (बेर),Fruit,79,1.2,20.2,0.2,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Improves stamina, used as tonic."
Karonda (करौंदा),Fruit,42,0.6,9.6,0.6,"Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, P. Can increase V.","Rich in iron, good for anemia."
Phalsa (फालसा),Fruit,55,0.9,13,0.1,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,"Relieves heat, thirst-quenching."
Custard Apple (सीताफल),Fruit,94,2.1,25.2,0.6,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","Nourishing, rich in antioxidants."
Sapodilla (चीकू),Fruit,83,0.4,19.9,1.1,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","Good for energy, laxative effect."
Fig (अंजीर),Fruit,74,0.8,19,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Good for digestion, relieves constipation."
Mulberry (शहतूत),Fruit,43,1.4,10.2,0.4,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Blood purifier, improves eyesight."
Starfruit (कमरख),Fruit,31,1,7,0.3,Sour (अम्ल),Cooling (शीत),Light (लघु),Sour (अम्ल),Balances P. Can increase V.,"Rich in Vitamin C, improves digestion."
Persimmon (तेंदू),Fruit,81,0.6,18.6,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","Rich in beta carotene, antioxidant."
Passion Fruit (कृष्णा फल),Fruit,97,2.2,23,0.4,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.","Boosts immunity, aids digestion."
Peach (आड़ू),Fruit,39,0.9,10,0.3,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.",Improves skin health.
Pear (नाशपाती),Fruit,57,0.4,15,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.","Good for digestion, cooling."
Apricot (खुबानी),Fruit,48,1.4,11,0.4,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Can increase P, K.","Improves eyesight, good for anemia."
Plum (आलूबुखारा),Fruit,46,0.7,11,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,"Laxative, improves blood flow."
Raspberry (रसभरी),Fruit,52,1.2,12,0.7,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,Rich in fiber and Vitamin C.
Blackberry (काला जामुन),Fruit,43,1.4,10,0.5,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.","Good for digestion, antioxidant."
Cranberry (क्रैनबेरी),Fruit,46,0.4,12,0.1,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),Balances P. Can increase V.,Good for urinary tract health.
Blueberry (नीलबदरी),Fruit,57,0.7,14,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,"Antioxidant, improves memory."
Gooseberry (रेड करंट),Fruit,56,1.4,14,0.2,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),Light (लघु),Pungent (कटु),Balances P. Can increase V.,"Improves immunity, digestion."
Black Currant (ब्लैक करंट),Fruit,63,1.4,15,0.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,"Rich in Vitamin C, good for eyes."
Red Banana (लाल केला),Fruit,90,1.2,23,0.3,Sweet (मधुर),Cooling (शीत),"Heavy, Smooth (गुरु, श्लक्ष्ण)",Sweet (मधुर),"Balances V, P. Can increase K.",Rich in Vitamin B6 and potassium.
Raw Banana (कच्चा केला),Vegetable,89,1.1,22.8,0.3,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Pungent (कटु),"Balances P, K. Can increase V.","Good for gut health, controls diarrhea."
Plantain Flower (केला फूल),Vegetable,74,1.6,9.9,0.6,"Bitter, Astringent (तिक्त, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.","Good for diabetes, improves fertility."
Tender Jackfruit (कटहल),Vegetable,95,2.5,23.5,0.6,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Rich in fiber, controls cholesterol."
Raw Mango (कच्चा आम),Fruit,60,0.6,15,0.4,Sour (अम्ल),Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances K. Can increase P, V.","Improves appetite, rich in Vitamin C."
Green Grapes (हरे अंगूर),Fruit,69,0.7,18,0.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Rich in antioxidants, hydrating."
Black Grapes (काले अंगूर),Fruit,72,0.7,19,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","Good for anemia, rich in resveratrol."
Green Apple (हरा सेब),Fruit,52,0.3,14,0.2,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.",Good for digestion and weight loss.
Red Apple (लाल सेब),Fruit,57,0.3,15,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.","Nourishing, improves skin."
Pomegranate Seeds (अनार दाने),Fruit,83,1.7,19,1.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Blood purifier, improves stamina."
Dry Dates (छुहारे),Fruit,277,1.8,75,0.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.","Strengthening, aphrodisiac."
Raisin (किशमिश),Dry Fruit,299,3.1,79,0.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.",Good for energy and anemia.
Dry Fig (सूखा अंजीर),Dry Fruit,249,3.3,64,0.9,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.",Improves digestion and fertility.
Dry Apricot (सूखा खुबानी),Dry Fruit,241,3.4,63,0.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Good for skin, rich in iron."
Prunes (सूखा आलूबुखारा),Dry Fruit,240,2.2,64,0.4,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.","Laxative, improves bone health."
Black Raisins (काले किशमिश),Dry Fruit,299,3.3,79,0.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Strengthening, blood purifier."
Golden Raisins (पीले किशमिश),Dry Fruit,302,3.4,80,0.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Improves stamina, sweetener alternative."
Lotus Seeds (कमल गट्टा),Seed,332,9.7,75,0.1,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","Nutritious, strengthens kidney."
Pumpkin Seeds (कद्दू बीज),Seed,559,30,10,49,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase K, P.","Good for prostate, protein-rich."
Sunflower Seeds (सूरजमुखी बीज),Seed,584,20,20,51,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase K, P.",Rich in Vitamin E and healthy fats.
Watermelon Seeds (तरबूज बीज),Seed,557,28,15,47,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.","Boosts energy, protein source."
Muskmelon Seeds (खरबूजा बीज),Seed,557,21,17,48,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),Balances V. Can increase K.,"Good for digestion, cooling."
Cantaloupe Seeds (खरबूजा बीज),Seed,562,20,19,49,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),Balances V. Can increase K.,Rich in protein and minerals.
Amaranth Seeds (राजगिरा),Grain/Seed,371,13.6,65.2,7,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","Gluten-free, rich in calcium and iron."
Barnyard Millet (सांवा),Millet,307,11.2,65.5,3.9,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Good for fasting, easily digestible."
Kodo Millet (कोदो),Millet,309,8.3,66.6,3.6,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","Rich in fiber, good for diabetes."
Little Millet (कुटकी),Millet,207,7.7,37,4.7,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","Rich in minerals, easy to digest."
Foxtail Millet (कंगनी),Millet,331,12.3,60.6,4.3,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Can increase P, K.",Helps control blood sugar.
Proso Millet (चिना),Millet,356,12.5,70.4,1.1,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V. Can increase P, K.","Rich in protein, gluten-free."
Browntop Millet (कोरले),Millet,343,11.5,67.5,3.5,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","Rich in antioxidants, easy to digest."
Finger Millet (रागी),Millet,336,7.3,72,1.3,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.","High in calcium, good for bones."
Sorghum (ज्वार),Cereal,329,11,72,3.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Good for digestion, gluten-free."
Pearl Millet (बाजरा),Cereal,378,11.6,67,5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.","Warming, good for winters."
Foxtail Grass Seeds (कंगनी बीज),Seed,351,12.2,62,4.5,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Can increase K, P.",Nutritious fasting food.
Chia Seeds (चिया बीज),Seed,486,17,42,31,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Heavy, Slimy (गुरु, पिच्छिल)",Sweet (मधुर),"Balances V, P. Can increase K.",Rich in omega-3 fatty acids.
Flax Seeds (अलसी),Seed,534,18.3,29,42,"Pungent, Sweet (कटु, मधुर)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase P, K.","Good for digestion, heart health."
